token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
首,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
襟,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
雪,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
位,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
議,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
少,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
今,7,14,3.771551724137931,2.8044871794871793,0.9670645446507518
頭,7,14,3.771551724137931,2.8044871794871793,0.9670645446507518
尊,4,6,2.155172413793103,1.201923076923077,0.9532493368700261
高,8,17,4.310344827586206,3.405448717948718,0.9048961096374883
前,5,9,2.6939655172413794,1.8028846153846154,0.891080901856764
照,5,9,2.6939655172413794,1.8028846153846154,0.891080901856764
堂,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
紅,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
黃,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
見,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
依,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
志,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
極,3,4,1.6163793103448276,0.8012820512820512,0.8150972590627764
留,4,7,2.155172413793103,1.4022435897435896,0.7529288240495136
明,8,18,4.310344827586206,3.605769230769231,0.7045755968169756
書,5,10,2.6939655172413794,2.003205128205128,0.6907603890362513
久,5,10,2.6939655172413794,2.003205128205128,0.6907603890362513
朝,9,21,4.849137931034483,4.206730769230769,0.6424071618037139
取,3,5,1.6163793103448276,1.001602564102564,0.6147767462422635
氷,3,5,1.6163793103448276,1.001602564102564,0.6147767462422635
際,3,5,1.6163793103448276,1.001602564102564,0.6147767462422635
大,3,5,1.6163793103448276,1.001602564102564,0.6147767462422635
豈,3,5,1.6163793103448276,1.001602564102564,0.6147767462422635
當,4,8,2.155172413793103,1.6025641025641024,0.5526083112290008
路,4,8,2.155172413793103,1.6025641025641024,0.5526083112290008
許,4,8,2.155172413793103,1.6025641025641024,0.5526083112290008
中,8,19,4.310344827586206,3.8060897435897436,0.5042550839964628
從,5,11,2.6939655172413794,2.203525641025641,0.4904398762157385
節,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
脩,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
昭,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
傑,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
朋,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
微,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
覺,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
酬,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
居,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
箇,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
宇,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
至,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
治,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
却,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
載,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
到,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
院,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
皁,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
誠,2,3,1.0775862068965516,0.6009615384615385,0.47662466843501305
要,6,14,3.2327586206896552,2.8044871794871793,0.42827144120247596
妨,3,6,1.6163793103448276,1.201923076923077,0.41445623342175053
仙,3,6,1.6163793103448276,1.201923076923077,0.41445623342175053
